Fecha,PRECIP,EVAP,TMAX,TMIN,DIAS,HOJAS
29/08/2016,0,4.7,25,8,151,24
30/08/2016,0,5.1,24,7,152,24
31/08/2016,0,4.233,24,5,153,24
01/09/2016,0,3.2,24,6,154,24
02/09/2016,5,5.2,22,8,155,24
03/09/2016,21,7.1,24,11,156,24
04/09/2016,18,9.8,18,12,157,24
05/09/2016,0,2.8,18,12,158,24
06/09/2016,0,4.3,22,8,159,24
07/09/2016,0,3.1,19,8,160,24
08/09/2016,0,4.2,22,4,161,24
09/09/2016,0,3.2,22,5,162,24
10/09/2016,0,5.4,25,5,163,24
11/09/2016,0,3.8,24,9,164,24
12/09/2016,1,3.4,21,12,165,24
13/09/2016,3.5,3.7,25,12,166,24
14/09/2016,0,5,24,8,167,24
15/09/2016,0,2.6,23,8,168,24
16/09/2016,0,3.4,23,10,169,24
17/09/2016,0,2.4,24,9,170,24
18/09/2016,2,1,24,7,171,24
19/09/2016,0.5,4.8,22,7,172,24
20/09/2016,13,3.9,22,8,173,24
21/09/2016,0,2,18,8,174,24
22/09/2016,0,1.8,20,9,175,24
23/09/2016,2.7,2.4,22,7,176,24
24/09/2016,0,3.8,22,8,177,24
25/09/2016,0.5,2.6,24,9,178,24
26/09/2016,0,2.2,20,9,179,24
27/09/2016,8.5,2.1,18,8,180,24
28/09/2016,29,3.8,19,9,181,24
29/09/2016,6,4.1,23,10,182,24
30/09/2016,23,4.233,22.423,10,183,24
01/10/2016,49,13.8,22,10,184,24
02/10/2016,12,3.2,21,8,185,24
03/10/2016,1,2.6,21,9,186,24
04/10/2016,0.5,2.7,22,10,187,24
05/10/2016,0,2.9,23,8,188,24
06/10/2016,0,3.9,24,7,189,24
07/10/2016,0,4.1,22,8,190,24
08/10/2016,0,5.6,21,8,191,24
09/10/2016,0,0.8,17,8,192,24
10/10/2016,0,1.8,20,8,193,24
11/10/2016,0,3.1,23,8,194,24
12/10/2016,0,5.3,23,9,195,24
13/10/2016,0,3.8,22,9,196,24
14/10/2016,0,4,24,4,197,24
15/10/2016,0,4.2,24,4,198,24
16/10/2016,3.5,2.2,25,5,199,24
17/10/2016,0,1.8,23,6,200,24
18/10/2016,0,3,23,5,201,24
19/10/2016,0,3,23,8,202,24
20/10/2016,0,4.4,23,7,203,24
21/10/2016,0,2.6,20,7,204,24
22/10/2016,0,3,21,7,205,24
23/10/2016,1,2.1,22,8,206,24
24/10/2016,0,3,24,8,207,24
25/10/2016,0,3.9,22,4,208,24
26/10/2016,0,3.1,21,2,209,24
27/10/2016,0,4,17,3,210,24
28/10/2016,0,2.4,17,4,211,24
29/10/2016,0,2.4,20,4,212,24
30/10/2016,1,1.6,21,4,213,24
31/10/2016,0,4.233,22,6,214,24
01/11/2016,0,5.1,24,8,215,24
02/11/2016,0,2.7,24,5,216,24
03/11/2016,0,4.4,21,7,217,24
04/11/2016,0,3.2,21,8,218,24
05/11/2016,1,3.8,22,8,219,24
06/11/2016,0,2.6,24,4,220,24
07/11/2016,0,3.6,25,7,221,24
08/11/2016,0,2,20,7,222,24
09/11/2016,0.5,2.4,18,8,223,24
10/11/2016,0,2,18,8,224,24
11/11/2016,2,1.6,20,8,225,24
12/11/2016,0,1.6,20,8,226,24
13/11/2016,0,2.6,21,7,227,24
14/11/2016,0,2.6,33,8,228,24
15/11/2016,0,2.6,29,9,229,24
16/11/2016,1.3,3,16,9,230,24
17/11/2016,0,3.7,18,6,231,24
18/11/2016,0,2,22,6,232,24
19/11/2016,0,3.6,16,8,233,24
20/11/2016,0,1.6,16,7,234,24
21/11/2016,0,4.5,21,2,235,24
22/11/2016,0,2.8,22,0,236,24
23/11/2016,0,3.7,22,2,237,24
24/11/2016,0,3.6,21,0,238,24
25/11/2016,0,2.4,21,-2,239,24
26/11/2016,0,3.2,21,5,240,24
27/11/2016,0,4.4,21,1,241,24
28/11/2016,0,2.6,21,4,242,24
29/11/2016,0,5.3,21,9,243,24
30/11/2016,0,3,22,5,244,24
01/04/2017,0,11.4,25,9,245,24
02/04/2017,0,7.4,24,9,246,24
03/04/2017,0,10.2,25,6,247,24
04/04/2017,0,7,24,6,248,24
05/04/2017,0,8,28,10,249,24
06/04/2017,0,3.4,24,10,250,24
07/04/2017,0,4,25,8,251,24
08/04/2017,3,5.8,24,8,252,24
09/04/2017,6.7,2.3,24,7,253,24
10/04/2017,0,2.4,24,8,254,24
11/04/2017,0,6.4,24,6,255,24
12/04/2017,0,5.3,22,4,256,24
13/04/2017,0,5.8,24,3,257,24
14/04/2017,0,1.6,23,3,258,24
15/04/2017,0,5,25,3,259,24
16/04/2017,10,3.3,24,5,260,24
17/04/2017,14.3,4.9,22,7,261,24
18/04/2017,0,2.4,18,9,262,24
19/04/2017,0,4,19,5,263,24
20/04/2017,0,5.5,21,4,264,24
21/04/2017,9.4,6.1,22,4,265,24
22/04/2017,0,4.6,24,7,266,24
23/04/2017,1.8,4.5,23,5,267,24
24/04/2017,3,4.7,22,6,268,24
25/04/2017,0,5.3,22,7,269,24
26/04/2017,0,8,24,11,270,24
27/04/2017,0,8.9,25,9,271,24
28/04/2017,0,6,24,9,272,24
29/04/2017,0,8.4,25,11,273,24
30/04/2017,0,4.233,27,11,274,24
01/05/2017,0,6.6,27,11,275,24
02/05/2017,3.5,6.4,26,13,276,24
03/05/2017,0,5.3,25,11,277,24
04/05/2017,7.3,6,22,10,278,24
05/05/2017,0,1.4,19,10,279,24
06/05/2017,0,6.5,25,6,280,24
07/05/2017,6,4.1,24,5,281,24
08/05/2017,0,6,25,9,282,24
09/05/2017,0,5.2,25,9,283,24
10/05/2017,8,5.8,28,10,284,24
